[begin_FlightDyn]
title   {t(s),v(m/s),¦È(deg),¦×(deg),¦Øx(rad/s),¦Øy(rad/s),¦Øz(rad/s),¦Õa(deg),¦Õ2(deg),¦Ã(deg),x(m),y(m),z(m)}
output
{0,800,0.872665,0,1600,0,0,0.872665,0,0,0,0,0;
0.005,799.798,49.9977,-3.63654e-006,1599.89,-9.06855e-005,0.000230696,50,1.01252e-006,458.351,2.57089,3.06374,-1.26923e-007;
0.01,799.596,49.9955,-7.20291e-006,1599.78,-0.000462578,0.000773817,50.0002,7.05151e-005,916.67,5.14124,6.12661,-5.06187e-007;
0.015,799.394,49.9932,-1.04272e-005,1599.67,-0.00130908,0.00139354,50.0005,0.000312635,1374.96,7.71107,9.1886,-1.12463e-006;
0.02,799.193,49.991,-1.27537e-005,1599.56,-0.00262011,0.00177551,50.0009,0.00086644,1833.21,10.2804,12.2497,-1.94068e-006;
0.025,798.991,49.9888,-1.33349e-005,1599.45,-0.00420329,0.00166727,50.0015,0.00184105,2291.44,12.8491,15.31,-2.86347e-006;
0.03,798.789,49.9865,-1.11548e-005,1599.35,-0.0057536,0.00097205,50.0018,0.00327207,2749.63,15.4174,18.3693,-3.73625e-006;
0.035,798.588,49.9843,-5.22374e-006,1599.24,-0.0069642,-0.000215149,50.002,0.00510473,3207.8,17.9851,21.4278,-4.33132e-006;
0.04,798.387,49.9821,5.22734e-006,1599.13,-0.00763715,-0.00164222,50.0017,0.00720972,3665.93,20.5523,24.4855,-4.35894e-006;
0.045,798.186,49.9799,2.06223e-005,1599.02,-0.00775346,-0.00299193,50.001,0.00942582,4124.03,23.1189,27.5422,-3.48764e-006;
0.05,797.984,49.9777,4.10296e-005,1598.91,-0.00747689,-0.00399704,50,0.0116133,4582.1,25.6851,30.5981,-1.36938e-006;
0.055,797.783,49.9755,6.62674e-005,1598.8,-0.00709068,-0.00453593,49.9988,0.0136987,5040.14,28.2507,33.6531,2.33881e-006;
0.06,797.583,49.9732,9.60841e-005,1598.69,-0.00689103,-0.0046738,49.9975,0.0156941,5498.15,30.8157,36.7073,7.96344e-006;
